Humidity,Temperature,Altitude,Latitude,Longitude,Luminosity,Timestamp,Date
91,-2,1334,340026500,200019169,524,1729950072,2024-10-26 15:41:12
53,-10,1962,340024464,200005705,345,1729950073,2024-10-26 15:41:13
75,-4,2961,340000491,200002995,342,1729950074,2024-10-26 15:41:14
83,8,1391,340014604,200003902,253,1729950075,2024-10-26 15:41:15
87,3,2421,340018716,200019718,195,1729950076,2024-10-26 15:41:16
91,2,1771,340011538,200001869,212,1729950077,2024-10-26 15:41:17
64,-3,2035,340009894,200028703,511,1729950078,2024-10-26 15:41:18
58,-1,2673,340004664,200015141,611,1729950079,2024-10-26 15:41:19
100,-9,2547,340027644,200032662,457,1729950080,2024-10-26 15:41:20
95,-3,1723,340009741,200027529,878,1729950081,2024-10-26 15:41:21
